title,CheckoutYear,CheckoutMonth,CheckoutCountt
"Da Vinci code",2006,1,174
"Da Vinci code",2006,2,152
"Da Vinci code",2006,3,204
"Da Vinci code",2006,4,117
"Da Vinci code",2006,5,278
"Da Vinci code",2006,6,213
"Da Vinci code",2006,7,142
"Da Vinci code",2006,8,108
"Da Vinci code",2006,9,84
"Da Vinci code",2006,10,48
"Da Vinci code",2006,11,46
"Da Vinci code",2006,12,52
"Da Vinci code",2007,1,20
"Da Vinci code",2007,2,27
"Da Vinci code",2007,3,39
"Da Vinci code",2007,4,24
"Da Vinci code",2007,5,34
"Da Vinci code",2007,6,32
"Da Vinci code",2007,7,27
"Da Vinci code",2007,8,24
"Da Vinci code",2007,9,21
"Da Vinci code",2007,10,17
"Da Vinci code",2007,11,24
"Da Vinci code",2007,12,17
"Da Vinci code",2008,1,18
"Da Vinci code",2008,2,35
"Da Vinci code",2008,3,15
"Da Vinci code",2008,4,27
"Da Vinci code",2008,5,10
"Da Vinci code",2008,6,23
"Da Vinci code",2008,7,31
"Da Vinci code",2008,8,33
"Da Vinci code",2008,9,30
"Da Vinci code",2008,10,25
"Da Vinci code",2008,11,29
"Da Vinci code",2008,12,17
"Da Vinci code",2009,1,26
"Da Vinci code",2009,2,36
"Da Vinci code",2009,3,31
"Da Vinci code",2009,4,21
"Da Vinci code",2009,5,41
"Da Vinci code",2009,6,52
"Da Vinci code",2009,7,31
"Da Vinci code",2009,8,22
"Da Vinci code",2009,9,23
"Da Vinci code",2009,10,23
"Da Vinci code",2009,11,33
"Da Vinci code",2009,12,25
"Da Vinci code",2010,1,13
"Da Vinci code",2010,2,9
"Da Vinci code",2010,3,22
"Da Vinci code",2010,4,15
"Da Vinci code",2010,5,9
"Da Vinci code",2010,6,25
"Da Vinci code",2010,7,16
"Da Vinci code",2010,8,22
"Da Vinci code",2010,9,10
"Da Vinci code",2010,10,14
"Da Vinci code",2010,11,8
"Da Vinci code",2010,12,6
"Da Vinci code",2011,1,13
"Da Vinci code",2011,2,12
"Da Vinci code a novel",2011,3,8
"Da Vinci code",2011,4,13
"Da Vinci code",2011,5,9
"Da Vinci code",2011,6,12
"Da Vinci code",2011,7,6
"Da Vinci code",2011,8,8
"Da Vinci code",2011,9,4
"Da Vinci code",2011,10,3
"Da Vinci code",2011,11,4
"Da Vinci code",2011,12,3
"Da Vinci code",2012,1,4
"Da Vinci code",2012,2,6
"Da Vinci code",2012,3,5
"Da Vinci code",2012,4,1
"Da Vinci code",2012,5,3
"Da Vinci code",2012,6,3
"Da Vinci code",2012,7,4
"Da Vinci code",2012,8,6
"Da Vinci code",2012,9,2
"Da Vinci code",2012,10,2
"Da Vinci code",2012,11,4
"Da Vinci code",2012,12,3
"Da Vinci code",2013,1,1
"Da Vinci code a novel",2013,2,2
"Da Vinci code",2013,3,1
"Da Vinci code",2013,4,4
"Da Vinci code",2013,5,4
"Da Vinci code a novel",2013,6,1
"Da Vinci code a novel",2013,7,4
"Da Vinci code a novel",2013,8,2
"Da Vinci code",2013,9,1
"Da Vinci code a novel",2013,10,5
"Da Vinci code",2013,11,2
"Da Vinci code",2013,12,6
"Da Vinci code a novel",2014,1,3
"Da Vinci code a novel",2014,2,1
"Da Vinci code a novel",2014,3,3
"Da Vinci code a novel",2014,4,2
"Da Vinci code a novel",2014,5,3
"Da Vinci code a novel",2014,6,2
"Da Vinci code a novel",2014,7,3
"Da Vinci code a novel",2014,8,3
"Da Vinci code a novel",2014,9,1
"Da Vinci code a novel",2014,10,1
"Da Vinci code a novel",2014,11,1
"Da Vinci code a novel",2014,12,2
