title,CheckoutYear,CheckoutMonth,CheckoutCountt
"fault in our stars",2012,2,23
"fault in our stars",2012,3,52
"fault in our stars",2012,4,97
"fault in our stars",2012,5,75
"fault in our stars",2012,6,84
"fault in our stars",2012,7,69
"fault in our stars",2012,8,74
"fault in our stars",2012,9,54
"fault in our stars",2012,10,87
"fault in our stars",2012,11,65
"fault in our stars",2012,12,78
"fault in our stars",2013,1,93
"fault in our stars",2013,2,66
"fault in our stars",2013,3,82
"fault in our stars",2013,4,85
"fault in our stars",2013,5,89
"fault in our stars",2013,6,75
"fault in our stars",2013,7,95
"fault in our stars",2013,8,80
"fault in our stars",2013,9,74
"fault in our stars",2013,10,70
"fault in our stars",2013,11,72
"fault in our stars",2013,12,85
"fault in our stars",2014,1,92
"fault in our stars",2014,2,77
"fault in our stars",2014,3,95
"fault in our stars",2014,4,94
"fault in our stars",2014,5,112
"fault in our stars",2014,6,131
"fault in our stars",2014,7,167
"fault in our stars",2014,8,139
"fault in our stars",2014,9,135
"fault in our stars",2014,10,124
"fault in our stars",2014,11,69
"fault in our stars",2014,12,55
"fault in our stars",2015,1,15
