Dates,Times,CheckoutDur,title
2012-02-15,16:42:00,2,"fault in our stars"
2012-02-15,18:30:00,7,"fault in our stars"
2012-02-15,16:35:00,13,"fault in our stars"
2012-02-16,18:16:00,9,"fault in our stars"
2012-02-16,12:09:00,18,"fault in our stars"
2012-02-16,19:48:00,18,"fault in our stars"
2012-02-16,13:26:00,21,"fault in our stars"
2012-02-18,11:56:00,0,"fault in our stars"
2012-02-18,14:14:00,16,"fault in our stars"
2012-02-21,13:41:00,36,"fault in our stars"
2012-02-22,12:06:00,2,"fault in our stars"
2012-02-24,16:08:00,38,"fault in our stars"
2012-02-25,16:26:00,10,"fault in our stars"
2012-02-25,14:21:00,14,"fault in our stars"
2012-02-27,12:06:00,0,"fault in our stars"
2012-02-27,14:55:00,1,"fault in our stars"
2012-02-27,12:24:00,9,"fault in our stars"
2012-02-27,17:58:00,13,"fault in our stars"
2012-02-28,16:39:00,0,"fault in our stars"
2012-02-28,18:28:00,8,"fault in our stars"
2012-02-28,12:08:00,17,"fault in our stars"
2012-02-29,13:16:00,15,"fault in our stars"
2012-02-29,16:20:00,15,"fault in our stars"
2012-03-03,12:06:00,7,"fault in our stars"
2012-03-03,15:31:00,9,"fault in our stars"
2012-03-03,14:16:00,12,"fault in our stars"
2012-03-03,15:00:00,15,"fault in our stars"
2012-03-03,13:20:00,23,"fault in our stars"
2012-03-05,16:07:00,5,"fault in our stars"
2012-03-05,14:48:00,8,"fault in our stars"
2012-03-05,16:48:00,11,"fault in our stars"
2012-03-05,10:52:00,15,"fault in our stars"
2012-03-06,17:05:00,3,"fault in our stars"
2012-03-07,12:36:00,12,"fault in our stars"
2012-03-08,16:35:00,17,"fault in our stars"
2012-03-08,15:00:00,20,"fault in our stars"
2012-03-09,13:46:00,21,"fault in our stars"
2012-03-10,13:16:00,14,"fault in our stars"
2012-03-10,14:32:00,19,"fault in our stars"
2012-03-10,15:10:00,20,"fault in our stars"
2012-03-13,17:56:00,1,"fault in our stars"
2012-03-13,13:27:00,20,"fault in our stars"
2012-03-13,16:32:00,51,"fault in our stars"
2012-03-14,17:01:00,12,"fault in our stars"
2012-03-15,14:50:00,10,"fault in our stars"
2012-03-15,15:56:00,20,"fault in our stars"
2012-03-17,16:09:00,27,"fault in our stars"
2012-03-19,15:56:00,28,"fault in our stars"
2012-03-20,14:25:00,0,"fault in our stars"
2012-03-20,15:27:00,14,"fault in our stars"
2012-03-20,14:04:00,22,"fault in our stars"
2012-03-21,11:31:00,19,"fault in our stars"
2012-03-22,17:24:00,6,"fault in our stars"
2012-03-22,14:48:00,7,"fault in our stars"
2012-03-22,16:05:00,19,"fault in our stars"
2012-03-22,09:35:00,21,"fault in our stars"
2012-03-22,15:31:00,21,"fault in our stars"
2012-03-22,14:25:00,40,"fault in our stars"
2012-03-23,17:24:00,10,"fault in our stars"
2012-03-23,13:55:00,12,"fault in our stars"
2012-03-24,14:19:00,3,"fault in our stars"
2012-03-24,17:38:00,6,"fault in our stars"
2012-03-24,13:28:00,7,"fault in our stars"
2012-03-24,14:32:00,17,"fault in our stars"
2012-03-25,16:09:00,14,"fault in our stars"
2012-03-27,17:11:00,9,"fault in our stars"
2012-03-28,13:50:00,0,"fault in our stars"
2012-03-28,14:40:00,0,"fault in our stars"
2012-03-28,10:59:00,13,"fault in our stars"
2012-03-29,13:41:00,10,"fault in our stars"
2012-03-29,16:36:00,27,"fault in our stars"
2012-03-31,10:03:00,0,"fault in our stars"
2012-03-31,11:08:00,7,"fault in our stars"
2012-03-31,15:54:00,11,"fault in our stars"
2012-03-31,13:43:00,19,"fault in our stars"
2012-04-01,14:56:00,15,"fault in our stars"
2012-04-02,16:33:00,18,"fault in our stars"
2012-04-03,16:33:00,7,"fault in our stars"
2012-04-03,14:41:00,10,"fault in our stars"
2012-04-03,16:35:00,14,"fault in our stars"
2012-04-03,10:34:00,17,"fault in our stars"
2012-04-03,10:41:00,20,"fault in our stars"
2012-04-03,14:24:00,21,"fault in our stars"
2012-04-04,10:58:00,0,"fault in our stars"
2012-04-04,12:44:00,0,"fault in our stars"
2012-04-04,13:09:00,0,"fault in our stars"
2012-04-04,17:13:00,2,"fault in our stars"
2012-04-04,15:45:00,5,"fault in our stars"
2012-04-04,13:24:00,7,"fault in our stars"
2012-04-04,12:59:00,14,"fault in our stars"
2012-04-05,14:21:00,0,"fault in our stars"
2012-04-05,14:33:00,4,"fault in our stars"
2012-04-05,16:00:00,6,"fault in our stars"
2012-04-05,15:33:00,6,"fault in our stars"
2012-04-05,12:42:00,7,"fault in our stars"
2012-04-05,17:08:00,6,"fault in our stars"
2012-04-05,13:44:00,7,"fault in our stars"
2012-04-05,12:04:00,13,"fault in our stars"
2012-04-05,16:40:00,20,"fault in our stars"
2012-04-05,16:52:00,20,"fault in our stars"
2012-04-05,16:48:00,20,"fault in our stars"
2012-04-06,16:29:00,4,"fault in our stars"
2012-04-06,17:58:00,19,"fault in our stars"
2012-04-06,14:24:00,20,"fault in our stars"
2012-04-06,16:09:00,22,"fault in our stars"
2012-04-07,11:16:00,3,"fault in our stars"
2012-04-07,11:10:00,9,"fault in our stars"
2012-04-07,17:19:00,10,"fault in our stars"
2012-04-07,11:08:00,12,"fault in our stars"
2012-04-07,16:51:00,14,"fault in our stars"
2012-04-09,17:11:00,8,"fault in our stars"
2012-04-09,14:58:00,16,"fault in our stars"
2012-04-10,11:52:00,7,"fault in our stars"
2012-04-10,17:14:00,9,"fault in our stars"
2012-04-10,19:58:00,13,"fault in our stars"
2012-04-10,15:39:00,20,"fault in our stars"
2012-04-10,15:45:00,21,"fault in our stars"
2012-04-11,12:31:00,7,"fault in our stars"
2012-04-11,16:49:00,9,"fault in our stars"
2012-04-11,12:36:00,10,"fault in our stars"
2012-04-11,11:48:00,14,"fault in our stars"
2012-04-11,15:44:00,16,"fault in our stars"
2012-04-11,12:52:00,19,"fault in our stars"
2012-04-11,10:45:00,20,"fault in our stars"
2012-04-12,13:49:00,13,"fault in our stars"
2012-04-12,14:31:00,21,"fault in our stars"
2012-04-13,12:37:00,5,"fault in our stars"
2012-04-13,11:31:00,25,"fault in our stars"
2012-04-14,11:42:00,7,"fault in our stars"
2012-04-14,15:27:00,8,"fault in our stars"
2012-04-14,15:21:00,11,"fault in our stars"
2012-04-14,15:57:00,17,"fault in our stars"
2012-04-14,10:34:00,21,"fault in our stars"
2012-04-16,16:50:00,20,"fault in our stars"
2012-04-16,15:22:00,29,"fault in our stars"
2012-04-17,13:51:00,6,"fault in our stars"
2012-04-17,10:47:00,16,"fault in our stars"
2012-04-17,16:22:00,34,"fault in our stars"
2012-04-18,15:02:00,6,"fault in our stars"
2012-04-18,15:30:00,19,"fault in our stars"
2012-04-19,17:05:00,22,"fault in our stars"
2012-04-20,17:41:00,7,"fault in our stars"
2012-04-20,13:06:00,20,"fault in our stars"
2012-04-21,17:55:00,0,"fault in our stars"
2012-04-21,12:53:00,9,"fault in our stars"
2012-04-21,13:15:00,9,"fault in our stars"
2012-04-21,16:47:00,10,"fault in our stars"
2012-04-21,15:52:00,13,"fault in our stars"
2012-04-21,13:45:00,15,"fault in our stars"
2012-04-21,15:36:00,15,"fault in our stars"
2012-04-21,12:35:00,24,"fault in our stars"
2012-04-22,16:27:00,20,"fault in our stars"
2012-04-23,18:54:00,6,"fault in our stars"
2012-04-23,17:50:00,7,"fault in our stars"
2012-04-23,15:25:00,26,"fault in our stars"
2012-04-24,11:56:00,13,"fault in our stars"
2012-04-25,10:43:00,10,"fault in our stars"
2012-04-25,14:06:00,20,"fault in our stars"
2012-04-25,18:25:00,20,"fault in our stars"
2012-04-25,13:14:00,23,"fault in our stars"
2012-04-25,11:45:00,26,"fault in our stars"
2012-04-26,16:07:00,0,"fault in our stars"
2012-04-26,14:16:00,9,"fault in our stars"
2012-04-26,14:42:00,18,"fault in our stars"
2012-04-28,17:12:00,10,"fault in our stars"
2012-04-28,14:54:00,20,"fault in our stars"
2012-04-28,16:58:00,23,"fault in our stars"
2012-04-29,13:47:00,19,"fault in our stars"
2012-04-30,16:37:00,3,"fault in our stars"
2012-04-30,11:35:00,14,"fault in our stars"
2012-04-30,17:32:00,15,"fault in our stars"
2012-04-30,17:25:00,18,"fault in our stars"
2012-05-01,18:19:00,0,"fault in our stars"
2012-05-01,14:53:00,0,"fault in our stars"
2012-05-01,16:06:00,3,"fault in our stars"
2012-05-01,13:24:00,7,"fault in our stars"
2012-05-01,14:28:00,8,"fault in our stars"
2012-05-01,13:20:00,9,"fault in our stars"
2012-05-01,13:00:00,21,"fault in our stars"
2012-05-01,19:02:00,21,"fault in our stars"
2012-05-02,13:04:00,30,"fault in our stars"
2012-05-03,12:37:00,18,"fault in our stars"
2012-05-04,17:55:00,12,"fault in our stars"
2012-05-04,10:26:00,25,"fault in our stars"
2012-05-05,11:42:00,4,"fault in our stars"
2012-05-05,12:37:00,7,"fault in our stars"
2012-05-05,12:12:00,12,"fault in our stars"
2012-05-05,17:43:00,11,"fault in our stars"
2012-05-05,14:15:00,26,"fault in our stars"
2012-05-07,13:53:00,13,"fault in our stars"
2012-05-07,19:43:00,13,"fault in our stars"
2012-05-07,17:01:00,17,"fault in our stars"
2012-05-08,17:28:00,7,"fault in our stars"
2012-05-08,19:12:00,15,"fault in our stars"
2012-05-08,16:32:00,15,"fault in our stars"
2012-05-08,17:20:00,21,"fault in our stars"
2012-05-09,17:17:00,6,"fault in our stars"
2012-05-09,19:28:00,16,"fault in our stars"
2012-05-10,14:33:00,11,"fault in our stars"
2012-05-10,14:13:00,11,"fault in our stars"
2012-05-10,14:21:00,22,"fault in our stars"
2012-05-10,13:06:00,25,"fault in our stars"
2012-05-12,12:16:00,28,"fault in our stars"
2012-05-13,13:30:00,18,"fault in our stars"
2012-05-14,15:17:00,0,"fault in our stars"
2012-05-14,17:14:00,5,"fault in our stars"
2012-05-14,18:13:00,6,"fault in our stars"
2012-05-14,14:37:00,7,"fault in our stars"
2012-05-14,14:46:00,9,"fault in our stars"
2012-05-14,18:35:00,16,"fault in our stars"
2012-05-14,16:47:00,20,"fault in our stars"
2012-05-15,19:42:00,3,"fault in our stars"
2012-05-15,13:03:00,30,"fault in our stars"
2012-05-16,15:55:00,8,"fault in our stars"
2012-05-17,10:48:00,0,"fault in our stars"
2012-05-17,14:20:00,10,"fault in our stars"
2012-05-17,13:57:00,13,"fault in our stars"
2012-05-17,17:10:00,13,"fault in our stars"
2012-05-18,17:05:00,19,"fault in our stars"
2012-05-18,14:28:00,21,"fault in our stars"
2012-05-19,13:03:00,4,"fault in our stars"
2012-05-19,17:31:00,10,"fault in our stars"
2012-05-19,13:07:00,22,"fault in our stars"
2012-05-20,13:45:00,9,"fault in our stars"
2012-05-20,14:21:00,11,"fault in our stars"
2012-05-21,14:47:00,18,"fault in our stars"
2012-05-21,13:13:00,21,"fault in our stars"
2012-05-21,17:14:00,21,"fault in our stars"
2012-05-23,19:52:00,0,"fault in our stars"
2012-05-23,17:19:00,14,"fault in our stars"
2012-05-23,12:15:00,19,"fault in our stars"
2012-05-24,17:54:00,41,"fault in our stars"
2012-05-25,16:41:00,7,"fault in our stars"
2012-05-25,13:43:00,20,"fault in our stars"
2012-05-26,12:58:00,11,"fault in our stars"
2012-05-26,16:00:00,12,"fault in our stars"
2012-05-26,11:45:00,14,"fault in our stars"
2012-05-26,13:44:00,16,"fault in our stars"
2012-05-26,11:48:00,16,"fault in our stars"
2012-05-26,11:07:00,21,"fault in our stars"
2012-05-29,11:59:00,6,"fault in our stars"
2012-05-30,19:52:00,2,"fault in our stars"
2012-05-30,14:06:00,6,"fault in our stars"
2012-05-30,16:44:00,6,"fault in our stars"
2012-05-30,16:33:00,20,"fault in our stars"
2012-05-31,18:15:00,0,"fault in our stars"
2012-05-31,10:59:00,7,"fault in our stars"
2012-06-01,14:01:00,18,"fault in our stars"
2012-06-01,11:40:00,21,"fault in our stars"
2012-06-01,17:08:00,20,"fault in our stars"
2012-06-02,13:11:00,5,"fault in our stars"
2012-06-02,15:42:00,13,"fault in our stars"
2012-06-02,11:55:00,16,"fault in our stars"
2012-06-02,15:29:00,21,"fault in our stars"
2012-06-03,15:46:00,4,"fault in our stars"
2012-06-03,15:24:00,12,"fault in our stars"
2012-06-03,13:23:00,18,"fault in our stars"
2012-06-04,19:07:00,6,"fault in our stars"
2012-06-04,17:54:00,8,"fault in our stars"
2012-06-04,17:34:00,19,"fault in our stars"
2012-06-05,18:38:00,21,"fault in our stars"
2012-06-06,19:18:00,5,"fault in our stars"
2012-06-06,19:35:00,11,"fault in our stars"
2012-06-06,13:17:00,19,"fault in our stars"
2012-06-06,15:20:00,21,"fault in our stars"
2012-06-07,15:16:00,12,"fault in our stars"
2012-06-07,13:32:00,20,"fault in our stars"
2012-06-08,17:46:00,2,"fault in our stars"
2012-06-09,15:16:00,14,"fault in our stars"
2012-06-09,16:24:00,20,"fault in our stars"
2012-06-09,11:29:00,21,"fault in our stars"
2012-06-10,13:07:00,17,"fault in our stars"
2012-06-10,15:49:00,22,"fault in our stars"
2012-06-11,13:18:00,3,"fault in our stars"
2012-06-11,17:38:00,14,"fault in our stars"
2012-06-11,18:10:00,18,"fault in our stars"
2012-06-11,12:03:00,21,"fault in our stars"
2012-06-11,18:57:00,29,"fault in our stars"
2012-06-11,18:01:00,65,"fault in our stars"
2012-06-12,16:55:00,12,"fault in our stars"
2012-06-12,14:06:00,12,"fault in our stars"
2012-06-12,12:46:00,20,"fault in our stars"
2012-06-12,14:36:00,28,"fault in our stars"
2012-06-13,17:35:00,13,"fault in our stars"
2012-06-13,16:13:00,14,"fault in our stars"
2012-06-13,12:06:00,15,"fault in our stars"
2012-06-13,11:46:00,19,"fault in our stars"
2012-06-13,16:27:00,21,"fault in our stars"
2012-06-13,17:51:00,37,"fault in our stars"
2012-06-14,11:53:00,15,"fault in our stars"
2012-06-15,13:58:00,11,"fault in our stars"
2012-06-16,12:46:00,4,"fault in our stars"
2012-06-16,15:39:00,7,"fault in our stars"
2012-06-16,14:15:00,7,"fault in our stars"
2012-06-16,17:45:00,9,"fault in our stars"
2012-06-16,11:27:00,19,"fault in our stars"
2012-06-18,17:09:00,7,"fault in our stars"
2012-06-18,18:59:00,14,"fault in our stars"
2012-06-18,13:19:00,21,"fault in our stars"
2012-06-18,14:49:00,38,"fault in our stars"
2012-06-19,12:42:00,6,"fault in our stars"
2012-06-19,17:49:00,10,"fault in our stars"
2012-06-19,17:24:00,12,"fault in our stars"
2012-06-19,18:38:00,22,"fault in our stars"
2012-06-20,12:54:00,16,"fault in our stars"
2012-06-20,12:09:00,18,"fault in our stars"
2012-06-20,16:15:00,23,"fault in our stars"
2012-06-21,18:15:00,13,"fault in our stars"
2012-06-22,15:42:00,11,"fault in our stars"
2012-06-22,15:51:00,14,"fault in our stars"
2012-06-23,12:27:00,0,"fault in our stars"
2012-06-23,13:56:00,9,"fault in our stars"
2012-06-23,13:34:00,12,"fault in our stars"
2012-06-23,16:50:00,21,"fault in our stars"
2012-06-24,16:38:00,19,"fault in our stars"
2012-06-25,16:38:00,23,"fault in our stars"
2012-06-27,17:51:00,9,"fault in our stars"
2012-06-27,17:22:00,19,"fault in our stars"
2012-06-27,17:22:00,20,"fault in our stars"
2012-06-27,17:15:00,21,"fault in our stars"
2012-06-27,17:38:00,27,"fault in our stars"
2012-06-28,15:18:00,7,"fault in our stars"
2012-06-28,18:21:00,13,"fault in our stars"
2012-06-28,17:09:00,13,"fault in our stars"
2012-06-28,16:46:00,17,"fault in our stars"
2012-06-28,16:01:00,21,"fault in our stars"
2012-06-29,13:28:00,37,"fault in our stars"
2012-06-30,13:34:00,0,"fault in our stars"
2012-06-30,12:05:00,7,"fault in our stars"
2012-06-30,13:37:00,17,"fault in our stars"
2012-06-30,12:21:00,18,"fault in our stars"
2012-07-01,15:14:00,6,"fault in our stars"
2012-07-01,16:12:00,14,"fault in our stars"
2012-07-01,16:12:00,53,"fault in our stars"
2012-07-02,13:28:00,7,"fault in our stars"
2012-07-02,17:26:00,7,"fault in our stars"
2012-07-02,18:12:00,15,"fault in our stars"
2012-07-02,17:26:00,25,"fault in our stars"
2012-07-05,12:00:00,8,"fault in our stars"
2012-07-05,16:18:00,9,"fault in our stars"
2012-07-05,14:31:00,17,"fault in our stars"
2012-07-05,11:15:00,18,"fault in our stars"
2012-07-05,11:18:00,22,"fault in our stars"
2012-07-06,12:48:00,14,"fault in our stars"
2012-07-06,16:03:00,20,"fault in our stars"
2012-07-07,14:18:00,17,"fault in our stars"
2012-07-07,13:40:00,19,"fault in our stars"
2012-07-07,16:54:00,19,"fault in our stars"
2012-07-07,16:46:00,23,"fault in our stars"
2012-07-09,14:28:00,8,"fault in our stars"
2012-07-09,13:15:00,12,"fault in our stars"
2012-07-09,17:57:00,11,"fault in our stars"
2012-07-09,18:31:00,21,"fault in our stars"
2012-07-09,12:35:00,25,"fault in our stars"
2012-07-10,14:25:00,10,"fault in our stars"
