Dates,Times,CheckoutDur,title
2006-01-02,14:41:00,8,"Da Vinci code a novel"
2006-01-02,14:59:00,22,"Da Vinci code a novel"
2006-01-02,16:08:00,25,"Da Vinci code a novel"
2006-01-02,14:41:00,29,"Da Vinci code a novel"
2006-01-02,14:12:00,63,"Da Vinci code a novel"
2006-01-03,13:32:00,9,"Da Vinci code"
2006-01-03,18:17:00,26,"Da Vinci code a novel"
2006-01-03,19:50:00,35,"Da Vinci code a novel"
2006-01-03,18:17:00,41,"Da Vinci code a novel"
2006-01-03,18:17:00,51,"Da Vinci code a novel"
2006-01-03,18:17:00,52,"Da Vinci code a novel"
2006-01-03,18:17:00,55,"Da Vinci code a novel"
2006-01-03,18:17:00,56,"Da Vinci code a novel"
2006-01-04,13:27:00,35,"Da Vinci code"
2006-01-04,13:27:00,37,"Da Vinci code"
2006-01-04,19:18:00,0,"Da Vinci code a novel"
2006-01-04,19:18:00,6,"Da Vinci code a novel"
2006-01-04,19:50:00,6,"Da Vinci code a novel"
2006-01-04,19:18:00,7,"Da Vinci code a novel"
2006-01-04,17:38:00,64,"Da Vinci code a novel"
2006-01-04,17:38:00,298,"Da Vinci code a novel"
2006-01-04,17:38:00,326,"Da Vinci code a novel"
2006-01-04,17:38:00,326,"Da Vinci code a novel"
2006-01-05,14:29:00,26,"Da Vinci code"
2006-01-05,14:29:00,42,"Da Vinci code"
2006-01-05,14:29:00,42,"Da Vinci code"
2006-01-05,13:18:00,21,"Da Vinci code a novel"
2006-01-06,12:35:00,0,"Da Vinci code a novel"
2006-01-06,12:35:00,2,"Da Vinci code a novel"
2006-01-06,12:35:00,4,"Da Vinci code a novel"
2006-01-06,14:13:00,28,"Da Vinci code a novel"
2006-01-06,14:13:00,37,"Da Vinci code a novel"
2006-01-07,10:06:00,17,"Da Vinci code"
2006-01-07,15:16:00,26,"Da Vinci code"
2006-01-07,14:59:00,7,"Da Vinci code a novel"
2006-01-07,15:41:00,21,"Da Vinci code a novel"
2006-01-07,10:36:00,28,"Da Vinci code a novel"
2006-01-08,13:19:00,19,"Da Vinci code a novel"
2006-01-09,13:19:00,8,"Da Vinci code a novel"
2006-01-09,17:27:00,18,"Da Vinci code a novel"
2006-01-09,11:58:00,27,"Da Vinci code a novel"
2006-01-09,11:58:00,28,"Da Vinci code a novel"
2006-01-09,15:49:00,60,"Da Vinci code a novel"
2006-01-09,15:49:00,69,"Da Vinci code a novel"
2006-01-10,14:59:00,14,"Da Vinci code"
2006-01-10,14:59:00,14,"Da Vinci code"
2006-01-10,14:12:00,15,"Da Vinci code a novel"
2006-01-10,19:04:00,19,"Da Vinci code a novel"
2006-01-10,14:12:00,21,"Da Vinci code a novel"
2006-01-10,18:15:00,23,"Da Vinci code a novel"
2006-01-10,18:15:00,28,"Da Vinci code a novel"
2006-01-10,18:15:00,28,"Da Vinci code a novel"
2006-01-10,14:12:00,37,"Da Vinci code a novel"
2006-01-11,13:31:00,21,"Da Vinci code"
2006-01-11,13:31:00,26,"Da Vinci code"
2006-01-11,15:20:00,26,"Da Vinci code"
2006-01-11,15:20:00,27,"Da Vinci code"
2006-01-11,15:20:00,30,"Da Vinci code"
2006-01-11,13:31:00,32,"Da Vinci code"
2006-01-11,15:20:00,32,"Da Vinci code"
2006-01-11,13:31:00,44,"Da Vinci code"
2006-01-11,13:31:00,50,"Da Vinci code"
2006-01-11,12:13:00,19,"Da Vinci code a novel"
2006-01-11,19:12:00,20,"Da Vinci code a novel"
2006-01-11,12:13:00,35,"Da Vinci code a novel"
2006-01-12,15:20:00,14,"Da Vinci code"
2006-01-12,15:20:00,19,"Da Vinci code"
2006-01-12,15:20:00,19,"Da Vinci code"
2006-01-12,15:23:00,14,"Da Vinci code a novel"
2006-01-12,11:26:00,18,"Da Vinci code a novel"
2006-01-12,14:43:00,20,"Da Vinci code a novel"
2006-01-12,11:26:00,21,"Da Vinci code a novel"
2006-01-12,11:26:00,24,"Da Vinci code a novel"
2006-01-13,12:15:00,0,"Da Vinci code a novel"
2006-01-13,16:42:00,32,"Da Vinci code a novel"
2006-01-13,17:28:00,33,"Da Vinci code a novel"
2006-01-13,16:42:00,35,"Da Vinci code a novel"
2006-01-13,17:42:00,38,"Da Vinci code a novel"
2006-01-14,14:29:00,9,"Da Vinci code"
2006-01-14,14:29:00,10,"Da Vinci code"
2006-01-14,11:06:00,14,"Da Vinci code a novel"
2006-01-14,11:06:00,17,"Da Vinci code a novel"
2006-01-15,14:30:00,23,"Da Vinci code a novel"
2006-01-17,18:57:00,24,"Da Vinci code a novel"
2006-01-17,18:57:00,29,"Da Vinci code a novel"
2006-01-17,18:57:00,32,"Da Vinci code a novel"
2006-01-17,18:57:00,35,"Da Vinci code a novel"
2006-01-18,12:27:00,7,"Da Vinci code a novel"
2006-01-18,12:27:00,9,"Da Vinci code a novel"
2006-01-18,18:09:00,11,"Da Vinci code a novel"
2006-01-18,18:09:00,12,"Da Vinci code a novel"
2006-01-18,13:02:00,16,"Da Vinci code a novel"
2006-01-18,13:02:00,20,"Da Vinci code a novel"
2006-01-18,13:02:00,20,"Da Vinci code a novel"
2006-01-18,13:02:00,33,"Da Vinci code a novel"
2006-01-18,13:02:00,34,"Da Vinci code a novel"
2006-01-19,16:51:00,12,"Da Vinci code a novel"
2006-01-19,12:06:00,13,"Da Vinci code a novel"
2006-01-19,12:06:00,16,"Da Vinci code a novel"
2006-01-19,16:51:00,26,"Da Vinci code a novel"
2006-01-19,16:51:00,27,"Da Vinci code a novel"
2006-01-19,11:59:00,35,"Da Vinci code a novel"
2006-01-19,11:59:00,37,"Da Vinci code a novel"
2006-01-19,17:13:00,39,"Da Vinci code a novel"
2006-01-19,17:13:00,40,"Da Vinci code a novel"
2006-01-19,17:13:00,54,"Da Vinci code a novel"
2006-01-19,17:13:00,68,"Da Vinci code a novel"
2006-01-19,17:13:00,68,"Da Vinci code a novel"
2006-01-20,13:06:00,18,"Da Vinci code"
2006-01-20,14:43:00,19,"Da Vinci code"
2006-01-20,13:06:00,20,"Da Vinci code"
2006-01-20,13:18:00,24,"Da Vinci code"
2006-01-20,13:18:00,27,"Da Vinci code"
2006-01-20,13:18:00,32,"Da Vinci code"
2006-01-20,14:43:00,40,"Da Vinci code"
2006-01-20,14:43:00,41,"Da Vinci code"
2006-01-20,13:18:00,65,"Da Vinci code"
2006-01-20,13:18:00,67,"Da Vinci code"
2006-01-20,17:45:00,11,"Da Vinci code a novel"
2006-01-20,15:59:00,16,"Da Vinci code a novel"
2006-01-20,14:12:00,22,"Da Vinci code a novel"
2006-01-20,14:12:00,25,"Da Vinci code a novel"
2006-01-20,14:12:00,28,"Da Vinci code a novel"
2006-01-20,14:12:00,32,"Da Vinci code a novel"
2006-01-21,16:38:00,44,"Da Vinci code a novel"
2006-01-21,16:38:00,45,"Da Vinci code a novel"
2006-01-23,16:54:00,43,"Da Vinci code"
2006-01-23,16:54:00,48,"Da Vinci code"
2006-01-23,14:34:00,25,"Da Vinci code a novel"
2006-01-23,17:23:00,48,"Da Vinci code a novel"
2006-01-24,11:53:00,29,"Da Vinci code a novel"
2006-01-25,16:32:00,15,"Da Vinci code a novel"
2006-01-25,16:32:00,15,"Da Vinci code a novel"
2006-01-25,13:33:00,24,"Da Vinci code a novel"
2006-01-25,10:35:00,69,"Da Vinci code a novel"
2006-01-26,16:19:00,17,"Da Vinci code"
2006-01-26,16:19:00,18,"Da Vinci code"
2006-01-26,12:50:00,19,"Da Vinci code"
2006-01-26,16:19:00,21,"Da Vinci code"
2006-01-26,16:19:00,32,"Da Vinci code"
2006-01-26,16:19:00,32,"Da Vinci code"
2006-01-26,16:19:00,41,"Da Vinci code"
2006-01-26,12:55:00,26,"Da Vinci code a novel"
2006-01-26,17:21:00,33,"Da Vinci code a novel"
2006-01-26,17:32:00,34,"Da Vinci code a novel"
2006-01-27,11:16:00,38,"Da Vinci code"
2006-01-27,11:16:00,41,"Da Vinci code"
2006-01-27,11:16:00,54,"Da Vinci code"
2006-01-27,11:16:00,55,"Da Vinci code"
2006-01-27,12:39:00,20,"Da Vinci code a novel"
2006-01-27,16:16:00,25,"Da Vinci code a novel"
2006-01-27,16:16:00,31,"Da Vinci code a novel"
2006-01-27,16:16:00,31,"Da Vinci code a novel"
2006-01-28,11:21:00,0,"Da Vinci code a novel"
2006-01-28,11:21:00,2,"Da Vinci code a novel"
2006-01-28,11:57:00,13,"Da Vinci code a novel"
2006-01-28,11:57:00,17,"Da Vinci code a novel"
2006-01-28,11:57:00,18,"Da Vinci code a novel"
2006-01-28,14:51:00,20,"Da Vinci code a novel"
2006-01-28,13:33:00,26,"Da Vinci code a novel"
2006-01-28,15:56:00,31,"Da Vinci code a novel"
2006-01-28,15:56:00,32,"Da Vinci code a novel"
2006-01-29,15:49:00,33,"Da Vinci code"
2006-01-29,15:49:00,35,"Da Vinci code"
2006-01-29,14:47:00,23,"Da Vinci code a novel"
2006-01-29,13:23:00,26,"Da Vinci code a novel"
2006-01-30,16:15:00,16,"Da Vinci code"
2006-01-30,16:15:00,18,"Da Vinci code"
2006-01-30,16:15:00,21,"Da Vinci code"
2006-01-31,18:56:00,8,"Da Vinci code a novel"
2006-01-31,18:56:00,12,"Da Vinci code a novel"
2006-01-31,18:56:00,13,"Da Vinci code a novel"
2006-01-31,12:34:00,41,"Da Vinci code a novel"
2006-01-31,12:34:00,41,"Da Vinci code a novel"
2006-02-01,13:57:00,4,"Da Vinci code"
2006-02-01,13:57:00,5,"Da Vinci code"
2006-02-01,15:11:00,23,"Da Vinci code"
2006-02-01,15:11:00,26,"Da Vinci code"
2006-02-01,15:11:00,44,"Da Vinci code"
2006-02-01,15:11:00,46,"Da Vinci code"
2006-02-01,15:11:00,58,"Da Vinci code"
2006-02-01,16:26:00,0,"Da Vinci code a novel"
2006-02-01,19:42:00,0,"Da Vinci code a novel"
2006-02-01,19:42:00,5,"Da Vinci code a novel"
2006-02-01,14:13:00,12,"Da Vinci code a novel"
2006-02-01,13:34:00,19,"Da Vinci code a novel"
2006-02-01,13:34:00,21,"Da Vinci code a novel"
2006-02-02,13:11:00,20,"Da Vinci code a novel"
2006-02-02,13:11:00,20,"Da Vinci code a novel"
2006-02-02,13:11:00,21,"Da Vinci code a novel"
2006-02-03,17:10:00,31,"Da Vinci code"
2006-02-03,17:10:00,67,"Da Vinci code"
2006-02-03,17:10:00,72,"Da Vinci code"
2006-02-03,16:50:00,10,"Da Vinci code a novel"
2006-02-04,12:46:00,5,"Da Vinci code"
2006-02-04,11:33:00,14,"Da Vinci code a novel"
2006-02-04,14:12:00,21,"Da Vinci code a novel"
2006-02-04,14:12:00,24,"Da Vinci code a novel"
2006-02-04,14:12:00,25,"Da Vinci code a novel"
2006-02-06,13:20:00,9,"Da Vinci code a novel"
2006-02-06,13:20:00,11,"Da Vinci code a novel"
2006-02-06,13:20:00,30,"Da Vinci code a novel"
2006-02-06,13:20:00,45,"Da Vinci code a novel"
2006-02-06,13:20:00,45,"Da Vinci code a novel"
2006-02-06,13:20:00,60,"Da Vinci code a novel"
2006-02-06,13:20:00,63,"Da Vinci code a novel"
2006-02-06,13:20:00,78,"Da Vinci code a novel"
2006-02-06,13:20:00,80,"Da Vinci code a novel"
2006-02-07,19:20:00,5,"Da Vinci code"
2006-02-07,19:20:00,6,"Da Vinci code"
2006-02-07,13:46:00,13,"Da Vinci code"
2006-02-07,13:46:00,26,"Da Vinci code"
2006-02-07,13:46:00,38,"Da Vinci code"
2006-02-07,13:46:00,40,"Da Vinci code"
2006-02-07,13:46:00,53,"Da Vinci code"
2006-02-07,13:46:00,56,"Da Vinci code"
2006-02-07,15:59:00,15,"Da Vinci code a novel"
2006-02-07,17:10:00,16,"Da Vinci code a novel"
2006-02-07,15:59:00,16,"Da Vinci code a novel"
2006-02-07,17:10:00,16,"Da Vinci code a novel"
2006-02-07,19:26:00,22,"Da Vinci code a novel"
2006-02-07,19:26:00,33,"Da Vinci code a novel"
2006-02-07,19:54:00,34,"Da Vinci code a novel"
2006-02-08,15:31:00,0,"Da Vinci code"
2006-02-08,15:31:00,0,"Da Vinci code"
2006-02-08,15:31:00,4,"Da Vinci code"
2006-02-08,12:51:00,0,"Da Vinci code a novel"
2006-02-08,12:47:00,5,"Da Vinci code a novel"
2006-02-08,14:38:00,5,"Da Vinci code a novel"
2006-02-08,12:47:00,6,"Da Vinci code a novel"
2006-02-08,17:06:00,13,"Da Vinci code a novel"
2006-02-08,17:06:00,19,"Da Vinci code a novel"
2006-02-08,13:04:00,20,"Da Vinci code a novel"
2006-02-08,16:44:00,26,"Da Vinci code a novel"
2006-02-08,16:44:00,26,"Da Vinci code a novel"
2006-02-08,17:06:00,39,"Da Vinci code a novel"
2006-02-08,17:06:00,50,"Da Vinci code a novel"
2006-02-08,17:06:00,53,"Da Vinci code a novel"
2006-02-09,11:06:00,8,"Da Vinci code a novel"
2006-02-09,11:06:00,15,"Da Vinci code a novel"
2006-02-10,16:22:00,5,"Da Vinci code a novel"
2006-02-10,16:22:00,8,"Da Vinci code a novel"
2006-02-11,17:56:00,18,"Da Vinci code a novel"
2006-02-11,17:56:00,23,"Da Vinci code a novel"
2006-02-11,13:17:00,25,"Da Vinci code a novel"
2006-02-11,11:37:00,26,"Da Vinci code a novel"
2006-02-12,16:04:00,46,"Da Vinci code"
2006-02-13,16:48:00,18,"Da Vinci code"
2006-02-13,16:33:00,19,"Da Vinci code"
2006-02-13,16:48:00,20,"Da Vinci code"
2006-02-13,16:33:00,21,"Da Vinci code"
2006-02-14,15:45:00,2,"Da Vinci code a novel"
2006-02-14,16:42:00,14,"Da Vinci code a novel"
2006-02-15,13:33:00,6,"Da Vinci code a novel"
2006-02-15,16:02:00,6,"Da Vinci code a novel"
2006-02-15,14:55:00,8,"Da Vinci code a novel"
2006-02-15,16:02:00,22,"Da Vinci code a novel"
2006-02-16,17:48:00,12,"Da Vinci code"
2006-02-16,17:48:00,14,"Da Vinci code"
2006-02-16,11:08:00,17,"Da Vinci code"
2006-02-16,11:08:00,18,"Da Vinci code"
2006-02-16,11:08:00,31,"Da Vinci code"
2006-02-16,11:08:00,33,"Da Vinci code"
2006-02-16,12:05:00,14,"Da Vinci code a novel"
2006-02-16,12:05:00,15,"Da Vinci code a novel"
2006-02-16,14:03:00,21,"Da Vinci code a novel"
2006-02-16,14:03:00,27,"Da Vinci code a novel"
2006-02-17,17:53:00,7,"Da Vinci code"
2006-02-17,17:53:00,17,"Da Vinci code"
2006-02-17,16:34:00,20,"Da Vinci code a novel"
2006-02-17,13:20:00,51,"Da Vinci code a novel"
2006-02-17,13:20:00,53,"Da Vinci code a novel"
2006-02-18,15:22:00,14,"Da Vinci code a novel"
2006-02-18,17:09:00,14,"Da Vinci code a novel"
2006-02-18,15:22:00,15,"Da Vinci code a novel"
2006-02-18,17:37:00,23,"Da Vinci code a novel"
2006-02-18,17:37:00,25,"Da Vinci code a novel"
2006-02-18,15:18:00,32,"Da Vinci code a novel"
2006-02-18,15:18:00,34,"Da Vinci code a novel"
2006-02-19,16:05:00,31,"Da Vinci code a novel"
2006-02-19,16:05:00,33,"Da Vinci code a novel"
2006-02-19,16:05:00,35,"Da Vinci code a novel"
2006-02-21,17:19:00,11,"Da Vinci code a novel"
2006-02-21,17:19:00,15,"Da Vinci code a novel"
2006-02-21,17:47:00,21,"Da Vinci code a novel"
2006-02-21,17:47:00,22,"Da Vinci code a novel"
2006-02-21,17:47:00,33,"Da Vinci code a novel"
2006-02-21,17:47:00,46,"Da Vinci code a novel"
2006-02-22,19:04:00,8,"Da Vinci code a novel"
2006-02-22,13:03:00,11,"Da Vinci code a novel"
2006-02-22,13:03:00,13,"Da Vinci code a novel"
2006-02-22,15:49:00,21,"Da Vinci code a novel"
2006-02-22,15:49:00,21,"Da Vinci code a novel"
2006-02-22,15:49:00,24,"Da Vinci code a novel"
2006-02-22,18:55:00,33,"Da Vinci code a novel"
2006-02-22,19:04:00,34,"Da Vinci code a novel"
2006-02-22,18:55:00,35,"Da Vinci code a novel"
2006-02-23,15:06:00,28,"Da Vinci code"
2006-02-23,15:11:00,5,"Da Vinci code a novel"
2006-02-23,15:11:00,5,"Da Vinci code a novel"
2006-02-23,10:16:00,20,"Da Vinci code a novel"
2006-02-23,10:16:00,34,"Da Vinci code a novel"
2006-02-23,14:06:00,35,"Da Vinci code a novel"
2006-02-23,10:16:00,48,"Da Vinci code a novel"
2006-02-24,15:33:00,25,"Da Vinci code"
2006-02-24,15:33:00,28,"Da Vinci code"
2006-02-24,17:25:00,14,"Da Vinci code a novel"
2006-02-24,16:20:00,18,"Da Vinci code a novel"
2006-02-24,16:20:00,27,"Da Vinci code a novel"
2006-02-25,13:39:00,14,"Da Vinci code a novel"
2006-02-25,17:07:00,20,"Da Vinci code a novel"
2006-02-26,14:06:00,7,"Da Vinci code a novel"
2006-02-26,14:06:00,10,"Da Vinci code a novel"
2006-02-26,16:07:00,11,"Da Vinci code a novel"
2006-02-27,15:01:00,18,"Da Vinci code a novel"
2006-02-27,19:58:00,20,"Da Vinci code a novel"
2006-02-27,19:58:00,24,"Da Vinci code a novel"
2006-02-27,19:58:00,27,"Da Vinci code a novel"
2006-02-27,16:46:00,38,"Da Vinci code a novel"
2006-02-28,16:35:00,12,"Da Vinci code a novel"
2006-02-28,15:56:00,16,"Da Vinci code a novel"
2006-02-28,15:56:00,21,"Da Vinci code a novel"
2006-02-28,16:52:00,25,"Da Vinci code a novel"
2006-02-28,16:52:00,26,"Da Vinci code a novel"
2006-02-28,16:52:00,27,"Da Vinci code a novel"
2006-02-28,16:35:00,30,"Da Vinci code a novel"
2006-03-01,12:19:00,6,"Da Vinci code a novel"
2006-03-01,12:19:00,15,"Da Vinci code a novel"
2006-03-01,14:57:00,19,"Da Vinci code a novel"
2006-03-01,14:57:00,22,"Da Vinci code a novel"
2006-03-01,14:57:00,22,"Da Vinci code a novel"
2006-03-01,16:22:00,26,"Da Vinci code a novel"
2006-03-01,18:21:00,32,"Da Vinci code a novel"
2006-03-01,18:21:00,46,"Da Vinci code a novel"
2006-03-01,18:21:00,62,"Da Vinci code a novel"
2006-03-02,15:03:00,6,"Da Vinci code a novel"
2006-03-02,11:30:00,13,"Da Vinci code a novel"
2006-03-02,11:30:00,15,"Da Vinci code a novel"
2006-03-02,17:21:00,14,"Da Vinci code a novel"
2006-03-02,11:30:00,18,"Da Vinci code a novel"
2006-03-02,15:56:00,20,"Da Vinci code a novel"
2006-03-02,15:56:00,24,"Da Vinci code a novel"
2006-03-02,15:56:00,36,"Da Vinci code a novel"
2006-03-02,15:56:00,37,"Da Vinci code a novel"
2006-03-02,15:56:00,39,"Da Vinci code a novel"
2006-03-02,15:56:00,51,"Da Vinci code a novel"
2006-03-02,15:56:00,53,"Da Vinci code a novel"
2006-03-03,11:27:00,4,"Da Vinci code"
2006-03-03,11:27:00,5,"Da Vinci code"
2006-03-03,14:40:00,6,"Da Vinci code"
2006-03-03,14:40:00,11,"Da Vinci code"
2006-03-03,14:40:00,12,"Da Vinci code"
2006-03-03,13:08:00,33,"Da Vinci code a novel"
2006-03-03,13:08:00,34,"Da Vinci code a novel"
2006-03-03,10:18:00,35,"Da Vinci code a novel"
2006-03-03,13:08:00,48,"Da Vinci code a novel"
2006-03-04,11:34:00,12,"Da Vinci code a novel"
2006-03-04,10:50:00,38,"Da Vinci code a novel"
2006-03-04,10:50:00,40,"Da Vinci code a novel"
2006-03-04,10:50:00,60,"Da Vinci code a novel"
2006-03-05,12:04:00,7,"Da Vinci code a novel"
2006-03-05,12:37:00,29,"Da Vinci code a novel"
2006-03-06,15:11:00,8,"Da Vinci code a novel"
2006-03-06,15:11:00,13,"Da Vinci code a novel"
2006-03-06,12:55:00,15,"Da Vinci code a novel"
2006-03-06,15:11:00,25,"Da Vinci code a novel"
