Dates,Times,CheckoutDur,title
2006-01-02,13:28:00,9,"time travelers wife"
2006-01-02,13:28:00,10,"time travelers wife"
2006-01-02,16:50:00,23,"time travelers wife"
2006-01-03,12:59:00,22,"time travelers wife a novel"
2006-01-03,13:58:00,28,"time travelers wife"
2006-01-03,13:58:00,41,"time travelers wife"
2006-01-03,13:58:00,42,"time travelers wife"
2006-01-04,12:52:00,2,"time travelers wife a novel"
2006-01-04,12:52:00,4,"time travelers wife a novel"
2006-01-05,13:52:00,27,"time travelers wife a novel"
2006-01-07,14:12:00,18,"time travelers wife a novel"
2006-01-07,14:55:00,21,"time travelers wife a novel"
2006-01-07,14:55:00,26,"time travelers wife a novel"
2006-01-07,14:12:00,32,"time travelers wife a novel"
2006-01-09,18:09:00,16,"time travelers wife a novel"
2006-01-09,17:40:00,18,"time travelers wife"
2006-01-09,15:46:00,21,"time travelers wife"
2006-01-09,15:46:00,24,"time travelers wife"
2006-01-09,15:46:00,24,"time travelers wife"
2006-01-10,17:27:00,26,"time travelers wife a novel"
2006-01-10,17:27:00,37,"time travelers wife a novel"
2006-01-10,17:27:00,41,"time travelers wife a novel"
2006-01-11,14:19:00,19,"time travelers wife a novel"
2006-01-11,14:19:00,20,"time travelers wife a novel"
2006-01-11,18:22:00,20,"time travelers wife a novel"
2006-01-11,18:22:00,21,"time travelers wife a novel"
2006-01-12,10:34:00,2,"time travelers wife"
2006-01-12,15:45:00,17,"time travelers wife"
2006-01-12,10:34:00,21,"time travelers wife"
2006-01-12,10:37:00,22,"time travelers wife a novel"
2006-01-12,16:51:00,26,"time travelers wife"
2006-01-13,16:31:00,26,"time travelers wife a novel"
2006-01-13,16:31:00,27,"time travelers wife a novel"
2006-01-13,11:30:00,34,"time travelers wife"
2006-01-14,12:13:00,14,"time travelers wife a novel"
2006-01-14,12:13:00,18,"time travelers wife a novel"
2006-01-14,12:13:00,19,"time travelers wife a novel"
2006-01-14,14:04:00,23,"time travelers wife"
2006-01-14,14:04:00,23,"time travelers wife"
2006-01-14,12:13:00,30,"time travelers wife a novel"
2006-01-14,12:13:00,33,"time travelers wife a novel"
2006-01-14,15:10:00,39,"time travelers wife a novel"
2006-01-15,16:35:00,20,"time travelers wife a novel"
2006-01-15,13:46:00,22,"time travelers wife a novel"
2006-01-15,13:46:00,24,"time travelers wife a novel"
2006-01-15,15:47:00,48,"time travelers wife"
2006-01-15,15:47:00,71,"time travelers wife"
2006-01-17,16:08:00,6,"time travelers wife a novel"
2006-01-17,16:48:00,17,"time travelers wife a novel"
2006-01-17,16:48:00,20,"time travelers wife a novel"
2006-01-17,16:48:00,21,"time travelers wife a novel"
2006-01-18,12:28:00,26,"time travelers wife a novel"
2006-01-18,12:28:00,48,"time travelers wife a novel"
2006-01-19,12:58:00,5,"time travelers wife a novel"
2006-01-19,12:58:00,5,"time travelers wife a novel"
2006-01-23,16:00:00,16,"time travelers wife a novel"
2006-01-23,16:00:00,20,"time travelers wife a novel"
2006-01-23,17:35:00,21,"time travelers wife a novel"
2006-01-23,17:35:00,21,"time travelers wife a novel"
2006-01-23,16:00:00,21,"time travelers wife a novel"
2006-01-23,17:35:00,45,"time travelers wife a novel"
2006-01-24,14:06:00,20,"time travelers wife a novel"
2006-01-24,14:06:00,20,"time travelers wife a novel"
2006-01-25,13:08:00,3,"time travelers wife a novel"
2006-01-25,13:08:00,7,"time travelers wife a novel"
2006-01-25,19:21:00,18,"time travelers wife a novel"
2006-01-26,11:01:00,4,"time travelers wife a novel"
2006-01-26,12:33:00,21,"time travelers wife a novel"
2006-01-26,12:40:00,29,"time travelers wife a novel"
2006-01-26,13:51:00,34,"time travelers wife a novel"
2006-01-26,12:33:00,46,"time travelers wife a novel"
2006-01-26,12:33:00,47,"time travelers wife a novel"
2006-01-27,13:34:00,0,"time travelers wife"
2006-01-27,13:34:00,6,"time travelers wife"
2006-01-27,12:22:00,11,"time travelers wife a novel"
2006-01-27,17:47:00,11,"time travelers wife a novel"
2006-01-27,17:47:00,28,"time travelers wife a novel"
2006-01-28,12:30:00,17,"time travelers wife a novel"
2006-01-28,12:30:00,17,"time travelers wife a novel"
2006-01-28,17:45:00,19,"time travelers wife a novel"
2006-01-28,17:45:00,26,"time travelers wife a novel"
2006-01-30,13:11:00,0,"time travelers wife"
2006-01-30,13:11:00,0,"time travelers wife"
2006-01-30,13:11:00,1,"time travelers wife"
2006-01-30,15:42:00,7,"time travelers wife a novel"
2006-01-30,15:42:00,7,"time travelers wife a novel"
2006-01-30,15:42:00,8,"time travelers wife a novel"
2006-01-30,15:42:00,23,"time travelers wife a novel"
2006-01-31,15:14:00,15,"time travelers wife"
2006-01-31,15:14:00,16,"time travelers wife"
